timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (Default Switch),net.bytes_recv.vEthernet (Default Switch),net.packets_sent.vEthernet (Default Switch),net.packets_recv.vEthernet (Default Switch),net.errin.vEthernet (Default Switch),net.errout.vEthernet (Default Switch),net.dropin.vEthernet (Default Switch),net.dropout.vEthernet (Default Switch),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1706614395522.7559,0,0,0,0,0,0,0,0,614500924,397518424,596619,450482,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10228040,0,47877,0,0,0,0,0,1026799,12960595968,204025,5518053376,46.796875,256804.42187499997,45.234375,758.9375000000291,640.578125,1.3,2500.0,0.0,2500.0,98983153,57198615,0,558004215
1706614396520.6167,0,0,0,0,0,0,0,0,614504878,397549954,596663,450661,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10228040,0,47877,0,0,0,0,0,1026800,12960612352,204038,5518594048,46.796875,256816.17187499997,45.234375,759.0312500000291,640.6875,1.7,2500.0,0.0,2500.0,98996093,57205948,0,558097098
1706614397514.8794,0,0,0,0,0,0,0,0,614510300,397554836,596713,450720,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10229720,0,47885,0,0,0,0,0,1026800,12960612352,204038,5518594048,46.796875,256828.01562499997,45.234375,759.1093750000291,640.75,1.2,2500.0,0.0,2500.0,99008315,57212731,0,558202952
1706614398512.6746,0,0,0,0,0,0,0,0,614513718,397558412,596751,450768,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10229720,0,47885,0,0,0,0,0,1026800,12960612352,204081,5519085568,46.796875,256839.90625,45.234375,759.15625,640.84375,1.2,2500.0,0.0,2500.0,99020542,57219322,0,558297115
1706614399514.119,0,0,0,0,0,0,0,0,614517656,397564236,596796,450839,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10229720,0,47885,0,0,0,0,0,1026800,12960612352,204167,5519855616,46.796875,256851.71875,45.234375,759.203125,640.9375,1.2,2500.0,0.0,2500.0,99032878,57225866,0,558390682
1706614400520.9604,0,0,0,0,0,0,0,0,614521606,397568736,596841,450896,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10229720,0,47885,0,0,0,0,0,1026801,12960616448,204169,5519867904,46.796875,256863.5625,45.234375,759.3125,641.03125,1.7,2500.0,0.0,2500.0,99045540,57232739,0,558484065
1706614401516.4177,0,0,0,0,0,0,0,0,614525156,397572568,596880,450946,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10229720,0,47885,0,0,0,0,0,1026805,12960673792,204178,5520318464,46.796875,256875.421875,45.234375,759.40625,641.140625,1.7,2500.0,0.0,2500.0,99057371,57239100,0,558576642
1706614402528.6016,0,0,0,0,0,0,0,0,614533002,397577682,596938,451015,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10230243,0,47886,0,0,0,0,0,1026805,12960673792,204184,5520711680,46.796875,256887.359375,45.234375,759.515625,641.203125,1.4,2500.0,0.0,2500.0,99070307,57245767,0,558671009
1706614403517.3008,0,0,0,0,0,0,0,0,614538927,397588722,596991,451087,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10230243,0,47886,0,0,0,0,0,1026805,12960673792,204224,5521317888,46.796875,256898.890625,45.234375,759.640625,641.328125,2.1,2500.0,0.0,2500.0,99083151,57252904,0,558766321
1706614404523.9995,0,0,0,0,0,0,0,0,614547968,397593879,597036,451142,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10230243,0,47886,0,0,0,0,0,1026805,12960673792,204227,5521342464,46.8125,256910.859375,45.25,759.8125,641.421875,2.4,2500.0,0.0,2500.0,99094270,57258743,0,558858766
