--------- beginning of main
02-23 08:47:01.001  6201  6376 I VrApi   : FPS=90/90,Prd=33ms,Tear=0,Early=8,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-1,Fov=3,CPU4/GPU=5/3,1862/490MHz,OC=FF,TA=0/0/0,SP=N/N/N,Mem=2092MHz,Free=7471MB,PLS=0,Temp=23.5C/0.0C,TW=1.24ms,App=2.22ms,GD=0.59ms,CPU&GPU=9.73ms,LCnt=2(DR90,LM2),GPU%=0.19,CPU%=0.38(W0.45),DSF=1.00,CFL=15.22/18.85,ICFLp95=17.63,LD=0,SF=1.20,LP=0,DVFS=0
02-23 08:47:02.001  6201  6376 I VrApi   : FPS=29/90,Prd=30ms,Tear=0,Early=0,Stale=91,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-1,Fov=0,CPU4/GPU=5/3,1862/490MHz,OC=FF,TA=0/0/0,SP=N/N/N,Mem=2092MHz,Free=7471MB,PLS=0,Temp=23.5C/0.0C,TW=1.27ms,App=0.00ms,GD=0.63ms,CPU&GPU=3.99ms,LCnt=2(DR91,LM2),GPU%=0.29,CPU%=0.37(W0.41),DSF=1.00,CFL=14.94/17.88,ICFLp95=16.84,LD=0,SF=1.20,LP=0,DVFS=0
02-23 08:47:03.001  6201  6376 I VrApi   : FPS=45/90,Prd=38ms,Tear=0,Early=44,Stale=47,Stale2/5/10/max=2/0/1/162,VSnc=1,Lat=-1,Fov=0,CPU4/GPU=5/5,1478/587MHz,OC=FF,TA=0/0/0,SP=N/N/N,Mem=2092MHz,Free=7471MB,PLS=0,Temp=23.5C/0.0C,TW=1.78ms,App=4.65ms,GD=0.70ms,CPU&GPU=6.66ms,LCnt=3(DR91,LM3),GPU%=0.76,CPU%=0.28(W0.32),DSF=1.00,CFL=14.93/19.59,ICFLp95=19.03,LD=0,SF=1.00,LP=0,DVFS=0
02-23 08:47:04.001  6201  6376 I VrApi   : FPS=75/90,Prd=48ms,Tear=0,Early=37,Stale=52,Stale2/5/10/max=1/1/1/42,VSnc=1,Lat=-1,Fov=0,CPU4/GPU=5/5,1478/587MHz,OC=FF,TA=0/0/0,SP=N/N/N,Mem=1804MHz,Free=7471MB,PLS=0,Temp=23.5C/0.0C,TW=1.40ms,App=4.26ms,GD=0.74ms,CPU&GPU=14.22ms,LCnt=3(DR90,LM3),GPU%=0.66,CPU%=0.29(W0.35),DSF=1.00,CFL=16.78/19.60,ICFLp95=18.69,LD=0,SF=1.20,LP=0,DVFS=0
02-23 08:47:05.001  6201  6376 I VrApi   : FPS=90/90,Prd=47ms,Tear=0,Early=90,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-1,Fov=0,CPU4/GPU=5/5,1478/587MHz,OC=FF,TA=0/0/0,SP=N/N/N,Mem=1555MHz,Free=7471MB,PLS=0,Temp=23.2C/0.0C,TW=1.35ms,App=4.05ms,GD=0.72ms,CPU&GPU=14.03ms,LCnt=2(DR90,LM2),GPU%=0.58,CPU%=0.24(W0.32),DSF=1.00,CFL=15.03/19.26,ICFLp95=18.31,LD=0,SF=1.20,LP=0,DVFS=0
02-23 08:47:06.002  6201  6376 I VrApi   : FPS=72/90,Prd=37ms,Tear=0,Early=53,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-1,Fov=0,CPU4/GPU=5/5,1478/587MHz,OC=FF,TA=0/0/0,SP=N/N/N,Mem=2092MHz,Free=7471MB,PLS=0,Temp=23.2C/0.0C,TW=1.35ms,App=3.88ms,GD=0.73ms,CPU&GPU=26.89ms,LCnt=2(DR91,LM2),GPU%=0.61,CPU%=0.29(W0.40),DSF=1.00,CFL=14.97/18.16,ICFLp95=17.14,LD=0,SF=1.20,LP=0,DVFS=0
02-23 08:47:07.002  6201  6376 I VrApi   : FPS=91/90,Prd=45ms,Tear=0,Early=64,Stale=20,Stale2/5/10/max=1/1/1/11,VSnc=1,Lat=-1,Fov=0,CPU4/GPU=5/5,1478/587MHz,OC=FF,TA=0/0/0,SP=N/N/N,Mem=1804MHz,Free=7471MB,PLS=0,Temp=23.2C/0.0C,TW=1.37ms,App=4.23ms,GD=0.70ms,CPU&GPU=12.76ms,LCnt=2(DR91,LM2),GPU%=0.58,CPU%=0.27(W0.36),DSF=1.00,CFL=15.01/17.81,ICFLp95=16.94,LD=0,SF=1.20,LP=0,DVFS=0
02-23 08:47:08.002  6201  6376 I VrApi   : FPS=89/90,Prd=38ms,Tear=0,Early=60,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-1,Fov=0,CPU4/GPU=5/4,1478/525MHz,OC=FF,TA=0/0/0,SP=N/N/N,Mem=1804MHz,Free=7471MB,PLS=0,Temp=23.2C/0.0C,TW=1.45ms,App=4.77ms,GD=0.73ms,CPU&GPU=12.05ms,LCnt=2(DR91,LM2),GPU%=0.65,CPU%=0.31(W0.35),DSF=1.00,CFL=15.02/17.65,ICFLp95=16.81,LD=0,SF=1.20,LP=0,DVFS=0
02-23 08:47:09.002  6201  6376 I VrApi   : FPS=91/90,Prd=35ms,Tear=0,Early=0,Stale=1,Stale2/5/10/max=0/0/0/1,VSnc=1,Lat=-1,Fov=0,CPU4/GPU=5/3,1478/490MHz,OC=FF,TA=0/0/0,SP=N/N/N,Mem=1804MHz,Free=7471MB,PLS=0,Temp=23.2C/0.0C,TW=1.53ms,App=5.15ms,GD=0.71ms,CPU&GPU=13.52ms,LCnt=2(DR91,LM2),GPU%=0.69,CPU%=0.26(W0.35),DSF=1.00,CFL=15.03/17.93,ICFLp95=16.96,LD=0,SF=1.20,LP=0,DVFS=0
02-23 08:47:10.002  6201  6376 I VrApi   : FPS=91/90,Prd=35ms,Tear=0,Early=1,Stale=1,Stale2/5/10/max=0/0/0/1,VSnc=1,Lat=-1,Fov=0,CPU4/GPU=5/3,1478/490MHz,OC=FF,TA=0/0/0,SP=N/N/N,Mem=1804MHz,Free=7471MB,PLS=0,Temp=23.2C/0.0C,TW=1.51ms,App=5.20ms,GD=0.72ms,CPU&GPU=13.25ms,LCnt=2(DR90,LM2),GPU%=0.70,CPU%=0.26(W0.30),DSF=1.00,CFL=15.08/17.86,ICFLp95=16.88,LD=0,SF=1.20,LP=0,DVFS=0
