timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet 2,net.bytes_recv.Ethernet 2,net.packets_sent.Ethernet 2,net.packets_recv.Ethernet 2,net.errin.Ethernet 2,net.errout.Ethernet 2,net.dropin.Ethernet 2,net.dropout.Ethernet 2,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1708849432037.8733,0,0,0,0,0,0,0,0,71287745,1986531032,299805,1451722,0,0,0,0,0,0,0,0,0,0,0,0,640394273,55473434,397793,201367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339726520,1262784,229146,16995,0,0,0,0,1081295,36768262656,478633,27462534656,13.734375,32768.203125,32.140625,1125.484375,1135.3125,10.1,2300.0,0.0,2300.0,176333380,92884721,0,737994199
1708849432954.531,0,0,0,0,0,0,0,0,71287907,1986531142,299807,1451723,0,0,0,0,0,0,0,0,0,0,0,0,640396891,55476654,397825,201410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339726520,1262784,229146,16995,0,0,0,0,1081316,36768561664,478664,27463006208,13.734375,32784.96875,32.1875,1126.375,1136.078125,9.2,2300.0,0.0,2300.0,176397227,92919569,0,738278066
1708849433939.43,0,0,0,0,0,0,0,0,71299881,1986533663,299828,1451736,0,0,0,0,0,0,0,0,0,0,0,0,640401533,55485948,397879,201479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339726520,1262784,229146,16995,0,0,0,0,1081349,36768868864,478665,27463010304,13.75,32802.75,32.203125,1127.328125,1137.078125,10.0,2300.0,0.0,2300.0,176482216,92964665,0,738721140
1708849434857.7014,0,0,0,0,0,0,0,0,71307923,1986558083,299859,1451772,0,0,0,0,0,0,0,0,0,0,0,0,640404130,55488542,397908,201517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339726520,1262784,229146,16995,0,0,0,0,1081362,36768922112,478683,27463472128,13.75,32819.40625,32.21875,1128.1406249999927,1138.03125,9.7,1506.0,0.0,2300.0,176547205,92999937,0,738995346
1708849435886.2139,0,0,0,0,0,0,0,0,71309505,1986560971,299870,1451802,0,0,0,0,0,0,0,0,0,0,0,0,640407649,55492090,397942,201559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339726520,1262784,229146,16995,0,0,0,0,1081391,36769270272,478708,27464898560,13.75,32838.125,32.25,1128.9062499999927,1139.1875,9.4,1506.0,0.0,2300.0,176625962,93041907,0,739332185
1708849436934.4346,0,0,0,0,0,0,0,0,71309958,1986561530,299876,1451808,0,0,0,0,0,0,0,0,0,0,0,0,640410016,55494751,397971,201597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339726520,1262784,229146,16995,0,0,0,0,1081405,36769384960,478726,27465159680,13.75,32856.921875,32.265625,1129.6874999999927,1140.46875,10.0,2300.0,0.0,2300.0,176692847,93078033,0,739599175
1708849438345.7502,0,0,0,0,0,0,0,0,71317018,1986579899,299928,1451857,0,0,0,0,0,0,0,0,0,0,0,0,640431870,55505920,398062,201716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339726520,1262784,229146,16995,0,0,0,0,1081434,36769540608,478757,27467344384,13.75,32882.5,32.265625,1130.6093749999927,1142.125,9.2,2300.0,0.0,2300.0,176810270,93139840,0,740156364
1708849439348.8826,0,0,0,0,0,0,0,0,71330185,1986590442,299974,1451904,0,0,0,0,0,0,0,0,0,0,0,0,640447571,55520709,398151,201806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339728160,1262784,229154,16995,0,0,0,0,1081448,36769597952,478844,27470051840,13.75,32900.40625,32.296875,1131.5156249999927,1143.296875,10.5,1506.0,0.0,2300.0,176879890,93178071,0,740472733
1708849440384.6284,0,0,0,0,0,0,0,0,71346280,1986665579,300064,1452000,0,0,0,0,0,0,0,0,0,0,0,0,640526877,55534641,398289,201933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339730322,1262784,229163,16995,0,0,0,0,1081464,36769769984,478856,27470472192,13.75,32919.0625,32.3125,1132.4999999999927,1144.4375,10.3,1506.0,0.0,2300.0,176962194,93221977,0,740872098
1708849440947.6702,0,0,0,0,0,0,0,0,71472526,1986725540,300185,1452097,0,0,0,0,0,0,0,0,0,0,0,0,640588995,55663181,398410,202089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339730322,1262784,229163,16995,0,0,0,0,1081471,36770003456,478867,27471210496,13.75,32929.5625,32.3125,1132.7968749999927,1145.0,7.6,2300.0,0.0,2300.0,177002369,93244300,0,741055066
1708849442207.5437,0,0,0,0,0,0,0,0,71765853,1986753067,300457,1452266,0,0,0,0,0,0,0,0,0,0,0,0,640619497,55961698,398620,202436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339730322,1262784,229163,16995,0,0,0,0,1081494,36770122240,478868,27471214592,13.765625,32952.34375,32.328125,1133.8437499999927,1146.234375,9.2,1506.0,0.0,2300.0,177106988,93299802,0,741556933
1708849443212.9597,0,0,0,0,0,0,0,0,71785174,1986833877,300586,1452370,0,0,0,0,0,0,0,0,0,0,0,0,640705502,55982542,398768,202608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339731962,1262784,229171,16995,0,0,0,0,1081512,36770413056,478902,27472670208,13.765625,32970.65625,32.34375,1134.6562499999927,1147.265625,9.2,1506.0,0.0,2300.0,177179485,93339645,0,741886347
1708849444122.603,0,0,0,0,0,0,0,0,71804529,1986880648,300675,1452460,0,0,0,0,0,0,0,0,0,0,0,0,640746151,55996701,398866,202728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339731962,1262784,229171,16995,0,0,0,0,1081571,36771080704,478941,27473483264,13.765625,32987.25,32.34375,1135.5468749999927,1148.078125,9.3,2300.0,0.0,2300.0,177260592,93382947,0,742277704
1708849445303.8625,0,0,0,0,0,0,0,0,71818923,1986951323,300767,1452563,0,0,0,0,0,0,0,0,0,0,0,0,640819998,56014439,399005,202871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339731962,1262784,229171,16995,0,0,0,0,1081623,36771490304,478972,27475281408,13.765625,33008.375,32.34375,1136.4218749999927,1149.484375,9.7,2300.0,0.0,2300.0,177348621,93430611,0,742652414
1708849446409.0479,0,0,0,0,0,0,0,0,71822051,1986953014,300788,1452575,0,0,0,0,0,0,0,0,0,0,0,0,640826646,56019116,399062,202935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339733602,1262784,229179,16995,0,0,0,0,1081715,36772227584,479024,27477815296,13.765625,33028.203125,32.34375,1137.5156249999927,1150.8125,10.9,1506.0,0.0,2300.0,177438462,93479202,0,743056940
1708849447365.0066,0,0,0,0,0,0,0,0,71824890,1986955473,300801,1452591,0,0,0,0,0,0,0,0,0,0,0,0,640832871,56025442,399118,202995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339733602,1262784,229179,16995,0,0,0,0,1081761,36772469760,479026,27477839872,13.78125,33045.359375,32.34375,1138.4374999999927,1151.78125,10.0,2300.0,0.0,2300.0,177504445,93514797,0,743356977
1708849448322.1208,0,0,0,0,0,0,0,0,71827290,1986957769,300815,1452608,0,0,0,0,0,0,0,0,0,0,0,0,640835634,56028474,399141,203018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339733602,1262784,229179,16995,0,0,0,0,1081829,36772776960,479041,27479135744,13.78125,33062.53125,32.375,1139.2656249999927,1153.0,10.8,1506.0,0.0,2300.0,177569020,93548308,0,743590928
1708849449427.8506,0,0,0,0,0,0,0,0,71830013,1986960859,300831,1452626,0,0,0,0,0,0,0,0,0,0,0,0,640843219,56035044,399204,203090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339733602,1262784,229179,16995,0,0,0,0,1081881,36773026816,479066,27480274432,13.78125,33082.40624999999,32.375,1140.15625,1154.28125,9.9,2300.0,0.0,2300.0,177654877,93595379,0,743973954
1708849449913.739,0,0,0,0,0,0,0,0,71830087,1986961446,300832,1452629,0,0,0,0,0,0,0,0,0,0,0,0,640846043,56037518,399235,203126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339733602,1262784,229179,16995,0,0,0,0,1081887,36773051392,479227,27489265152,13.78125,33091.06249999999,32.390625,1140.46875,1154.953125,10.4,2300.0,0.0,2300.0,177696680,93618780,0,744173355
1708849451082.2815,0,0,0,0,0,0,0,0,71832605,1986968603,300849,1452649,0,0,0,0,0,0,0,0,0,0,0,0,640849684,56041424,399279,203183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339733602,1262784,229179,16995,0,0,0,0,1081931,36773301248,479254,27490039296,13.78125,33112.51562499999,32.390625,1141.3125,1156.09375,8.5,2300.0,0.0,2300.0,177787240,93668229,0,744573995
1708849451978.1533,0,0,0,0,0,0,0,0,71841154,1986997195,300904,1452739,0,0,0,0,0,0,0,0,0,0,0,0,640851662,56043229,399302,203209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339733820,1262784,229180,16995,0,0,0,0,1081976,36773616640,479271,27490892800,13.78125,33128.82812499999,32.390625,1142.046875,1156.96875,9.0,1506.0,0.0,2300.0,177854314,93703045,0,744872193
1708849453089.4277,0,0,0,0,0,0,0,0,71842699,1987014663,300915,1452796,0,0,0,0,0,0,0,0,0,0,0,0,640855314,56047058,399340,203256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339734038,1262784,229181,16995,0,0,0,0,1081992,36773743616,479274,27490946048,13.78125,33149.26562499999,32.40625,1142.796875,1158.140625,8.7,1506.0,0.0,2300.0,177941703,93750175,0,745233627
1708849454133.2036,0,0,0,0,0,0,0,0,71843934,1987017362,300928,1452813,0,0,0,0,0,0,0,0,0,0,0,0,640859310,56052113,399387,203321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339734256,1262784,229182,16995,0,0,0,0,1082012,36773866496,479295,27492632064,13.78125,33167.67187499999,32.4375,1143.59375,1159.5625,10.9,2300.0,0.0,2300.0,178026431,93794142,0,745632660
1708849455194.8477,0,0,0,0,0,0,0,0,71847077,1987022561,300950,1452864,0,0,0,0,0,0,0,0,0,0,0,0,640865379,56056237,399444,203381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339736114,1262784,229191,16995,0,0,0,0,1082091,36774411264,479375,27494713856,13.78125,33186.56249999999,32.46875,1144.71875,1160.875,11.6,1506.0,0.0,2300.0,178112325,93841507,0,746019683
1708849456248.67,0,0,0,0,0,0,0,0,71849351,1987023486,300963,1452877,0,0,0,0,0,0,0,0,0,0,0,0,640869742,56059257,399485,203425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339737754,1262784,229199,16995,0,0,0,0,1082123,36774566912,479392,27496470016,13.78125,33205.56249999999,32.484375,1145.5625,1162.140625,10.1,1506.0,0.0,2300.0,178188547,93881154,0,746356903
