01-19 20:13:35.431 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: begin
01-19 20:13:35.432 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: sampleRate => 1000
01-19 20:13:35.432 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: rawFields => Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
01-19 20:14:30.570 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691670570,-1176664,3762
01-19 20:14:31.573 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691671573,-1296785,3762
01-19 20:14:32.575 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691672575,-1156156,3762
01-19 20:14:33.583 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691673583,-1096096,3762
01-19 20:14:34.585 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691674585,-1339998,3762
01-19 20:14:35.587 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691675587,-1318758,3762
01-19 20:14:36.589 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691676589,-1000146,3762
01-19 20:14:37.592 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691677592,-1171171,3762
01-19 20:14:38.594 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691678594,-1045924,3756
01-19 20:14:39.596 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691679596,-1002710,3756
01-19 20:14:40.598 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691680598,-1155790,3756
01-19 20:14:41.601 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691681601,-1294953,3756
01-19 20:14:42.603 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691682603,-994653,3756
01-19 20:14:43.605 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691683605,-1109646,3756
01-19 20:14:44.607 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691684607,-1366733,3756
01-19 20:14:45.609 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691685609,-1611368,3756
01-19 20:14:46.614 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691686614,-1005640,3756
01-19 20:14:47.616 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691687616,-1376987,3756
01-19 20:14:48.621 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691688621,-1100857,3757
01-19 20:14:49.624 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691689624,-1153593,3757
01-19 20:14:50.626 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691690626,-974145,3757
01-19 20:14:51.629 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691691629,-1181059,3757
01-19 20:14:52.631 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691692631,-1187285,3757
01-19 20:14:53.634 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691693634,-1260895,3752
01-19 20:14:54.636 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691694636,-1143705,3752
01-19 20:14:55.642 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691695642,-993921,3752
01-19 20:14:56.645 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691696645,-1195342,3752
