02-22 16:30:33.747  5667  5667 I BatteryMgr:DataCollectionService: onStartCommand: begin
02-22 16:30:33.748  5667  5667 I BatteryMgr:DataCollectionService: onStartCommand: sampleRate => 1000
02-22 16:30:33.748  5667  5667 I BatteryMgr:DataCollectionService: onStartCommand: rawFields => Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
02-22 16:30:33.749  5667  5667 I BatteryMgr:DataCollectionService: onStartCommand: notification done
02-22 16:30:33.754  5667  5667 I BatteryMgr:DataCollectionService: started foreground
02-22 16:30:33.756  5667 12699 I BatteryMgr:DataCollectionService: collectData: begin
02-22 16:30:33.757  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615833757,-2493162,3599
02-22 16:30:34.109  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615834109,-2493162,3599
02-22 16:30:34.318  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615834318,-2493162,3599
02-22 16:30:34.761  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615834760,-2466795,3599
02-22 16:30:35.112  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615835112,-2466795,3599
02-22 16:30:35.320  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615835320,-2466795,3599
02-22 16:30:35.763  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615835763,-2512694,3599
02-22 16:30:36.115  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615836115,-2512694,3599
02-22 16:30:36.323  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615836323,-2512694,3599
02-22 16:30:36.766  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615836766,-2014159,3599
02-22 16:30:37.117  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615837117,-2014159,3599
02-22 16:30:37.325  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615837325,-2014159,3599
02-22 16:30:37.769  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615837769,-2052245,3599
02-22 16:30:38.120  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615838120,-2052245,3599
02-22 16:30:38.328  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615838328,-2052245,3629
02-22 16:30:38.772  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615838772,-2099608,3629
02-22 16:30:39.122  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615839122,-2099608,3629
02-22 16:30:39.331  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615839331,-2099608,3629
02-22 16:30:39.780  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615839780,-2102049,3629
02-22 16:30:40.125  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615840125,-2102049,3629
02-22 16:30:40.342  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615840342,-2102049,3629
02-22 16:30:40.785  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615840785,-2120604,3629
02-22 16:30:41.128  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615841128,-2120604,3629
02-22 16:30:41.345  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615841345,-2120604,3629
02-22 16:30:41.791  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615841791,-2065916,3629
02-22 16:30:42.138  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615842138,-2065916,3629
02-22 16:30:42.351  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615842351,-2065916,3629
02-22 16:30:42.795  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615842794,-2489744,3629
02-22 16:30:43.140  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615843140,-2489744,3629
02-22 16:30:43.357  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615843357,-2489744,3629
02-22 16:30:43.798  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615843798,-2546873,3629
02-22 16:30:44.143  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615844143,-2546873,3629
02-22 16:30:44.361  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615844361,-2546873,3629
02-22 16:30:44.801  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615844801,-2553221,3629
02-22 16:30:45.147  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615845147,-2553221,3629
02-22 16:30:45.363  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615845363,-2553221,3629
