01-17 07:48:29.443 24835 24835 I BatteryMgr:DataCollectionService: onStartCommand: begin
01-17 07:48:29.443 24835 24835 I BatteryMgr:DataCollectionService: onStartCommand: sampleRate => 1000
01-17 07:48:29.443 24835 24835 I BatteryMgr:DataCollectionService: onStartCommand: rawFields => Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
01-17 07:49:23.696 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474163696,-2058104,4014
01-17 07:49:24.702 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474164702,-1888182,4014
01-17 07:49:25.708 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474165708,-1897459,4014
01-17 07:49:26.712 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474166712,-1954100,4014
01-17 07:49:27.717 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474167717,-1909178,4014
01-17 07:49:28.721 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474168721,-1894530,4014
01-17 07:49:29.725 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474169725,-1914061,4014
01-17 07:49:30.729 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474170729,-1836424,4014
01-17 07:49:31.734 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474171734,-1877440,4014
01-17 07:49:32.738 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474172738,-1895995,4014
01-17 07:49:33.742 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474173742,-1873045,4022
01-17 07:49:34.746 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474174746,-1881346,4023
01-17 07:49:35.750 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474175750,-1952147,4023
01-17 07:49:36.754 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474176754,-1890624,4023
01-17 07:49:37.758 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474177758,-1899413,4023
01-17 07:49:38.762 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474178761,-1893553,4023
01-17 07:49:39.766 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474179766,-1884764,4023
01-17 07:49:40.769 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474180769,-1904784,4023
01-17 07:49:41.774 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474181774,-1880858,4023
01-17 07:49:42.778 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474182777,-1850584,4023
01-17 07:49:43.782 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474183782,-1876463,4024
01-17 07:49:44.786 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474184786,-1891112,4024
01-17 07:49:45.790 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474185790,-1888670,4024
01-17 07:49:46.795 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474186795,-1877928,4022
01-17 07:49:47.799 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474187799,-1911131,4022
01-17 07:49:48.802 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474188802,-1915526,4022
01-17 07:49:49.809 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474189809,-1856932,4022
01-17 07:49:50.814 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474190814,-1989256,4022
01-17 07:49:51.819 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474191818,-2021483,4022
01-17 07:49:52.823 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474192823,-1634764,4022
01-17 07:49:53.827 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474193827,-1815428,4039
01-17 07:49:54.831 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474194831,-1884764,4039
01-17 07:49:55.835 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474195835,-1706542,4039
01-17 07:49:56.839 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474196839,-1737792,4039
