01-19 20:04:01.816 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: begin
01-19 20:04:01.816 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: sampleRate => 1000
01-19 20:04:01.816 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: rawFields => Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
01-19 20:04:55.958 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691095958,-1225738,3775
01-19 20:04:56.960 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691096960,-1372226,3775
01-19 20:04:57.962 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691097962,-1351351,3788
01-19 20:04:58.964 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691098964,-1226104,3788
01-19 20:04:59.973 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691099973,-1011499,3788
01-19 20:05:00.975 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691100975,-1180693,3788
01-19 20:05:01.977 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691101977,-976708,3784
01-19 20:05:02.979 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691102979,-1090236,3784
01-19 20:05:03.983 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691103983,-1305940,3784
01-19 20:05:04.987 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691104987,-1056178,3784
01-19 20:05:05.988 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691105988,-1686809,3784
01-19 20:05:06.990 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691106990,-1765912,3784
01-19 20:05:07.992 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691107992,-1340365,3759
01-19 20:05:08.995 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691108995,-1150663,3759
01-19 20:05:09.998 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691109998,-1213286,3759
01-19 20:05:11.001 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691111001,-1220245,3759
01-19 20:05:12.004 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691112004,-1279572,3759
01-19 20:05:13.007 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691113007,-1055446,3759
01-19 20:05:14.011 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691114011,-1196806,3759
01-19 20:05:15.013 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691115013,-1136746,3759
01-19 20:05:16.015 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691116015,-1229034,3759
01-19 20:05:17.017 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691117017,-1449498,3759
01-19 20:05:18.019 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691118019,-1129788,3763
01-19 20:05:19.021 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691119021,-1194243,3763
01-19 20:05:20.024 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691120024,-1521277,3763
01-19 20:05:21.028 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691121028,-967553,3763
01-19 20:05:22.030 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691122030,-937523,3763
01-19 20:05:23.031 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691123031,-1048854,3763
01-19 20:05:24.033 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691124033,-1323152,3763
01-19 20:05:25.035 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691125035,-1328279,3763
01-19 20:05:26.037 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691126037,-1439610,3763
01-19 20:05:27.042 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691127042,-1288361,3763
01-19 20:05:28.044 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691128044,-1742108,3771
01-19 20:05:29.046 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691129046,-1490881,3771
01-19 20:05:30.049 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691130049,-1095364,3771
01-19 20:05:31.052 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691131052,-1304109,3771
01-19 20:05:32.054 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691132054,-1018091,3771
01-19 20:05:33.056 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691133056,-1144071,3771
01-19 20:05:34.058 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691134058,-1129056,3771
01-19 20:05:35.062 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691135062,-1161283,3771
01-19 20:05:36.064 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691136064,-1382480,3771
01-19 20:05:37.070 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691137070,-1337069,3771
01-19 20:05:38.072 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691138072,-1036768,3769
01-19 20:05:39.074 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691139074,-1426793,3769
01-19 20:05:40.076 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691140076,-1046656,3769
01-19 20:05:41.080 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691141080,-1199004,3769
01-19 20:05:42.084 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691142084,-968651,3769
01-19 20:05:43.088 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691143088,-1223907,3769
01-19 20:05:44.094 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691144094,-969750,3769
01-19 20:05:45.096 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691145096,-1388706,3769
01-19 20:05:46.098 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691146098,-1436681,3769
01-19 20:05:47.100 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691147100,-1339632,3769
01-19 20:05:48.102 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691148102,-1117703,3768
