--------- beginning of main
01-18 09:34:17.064  1974 32022 I VrApi   : FPS=90/90,Prd=22ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-1,Fov=0,CPU4/GPU=4/4,1920/545MHz,OC=3F,TA=0/3C/0,SP=N/F/N,Mem=2092MHz,Free=3812MB,PLS=0,Temp=44.0C/0.0C,TW=1.33ms,App=2.10ms,GD=0.00ms,CPU&GPU=3.22ms,LCnt=3(DR91,LM2),GPU%=0.34,CPU%=0.29(W0.33),DSF=1.04,CFL=10.37/14.57,ICFLp95=13.40,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:18.064  1974 32022 I VrApi   : FPS=90/90,Prd=20ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-1,Fov=0,CPU4/GPU=4/4,1920/545MHz,OC=3F,TA=0/3C/0,SP=N/F/N,Mem=2736MHz,Free=3812MB,PLS=0,Temp=44.0C/0.0C,TW=1.34ms,App=2.09ms,GD=0.00ms,CPU&GPU=1.77ms,LCnt=3(DR90,LM2),GPU%=0.33,CPU%=0.27(W0.32),DSF=1.04,CFL=10.83/14.72,ICFLp95=13.48,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:25.000   493   866 I VrApi   : FPS=15/72,Prd=11ms,Tear=0,Early=0,Stale=73,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,2361/545MHz,OC=3F,TA=0/3C/3C,SP=N/N/N,Mem=3196MHz,Free=2908MB,PLS=0,Temp=44.0C/0.0C,TW=0.89ms,App=36.19ms,GD=0.38ms,CPU&GPU=439658.12ms,LCnt=3(DR0,LM0),GPU%=0.10,CPU%=0.32(W0.76),DSF=1.04,CFL=12.28/23.97,ICFLp95=22.76,LD=0,SF=0.00,LP=0,DVFS=0
01-18 09:34:25.169  2608  3090 I VrApi   : OVR::Stats thread Suspend
01-18 09:34:25.172  2608  3090 I VrApi   : OVR::Stats thread stopped
01-18 09:34:26.000   493   866 I VrApi   : FPS=4/72,Prd=12ms,Tear=0,Early=1,Stale=71,Stale2/5/10/max=0/0/1/342,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,2361/545MHz,OC=3F,TA=0/3C/3C,SP=N/N/N,Mem=3196MHz,Free=2908MB,PLS=0,Temp=44.0C/0.0C,TW=0.91ms,App=87.28ms,GD=0.38ms,CPU&GPU=347183.59ms,LCnt=3(DR0,LM0),GPU%=0.10,CPU%=0.59(W0.73),DSF=1.04,CFL=11.36/16.09,ICFLp95=16.23,LD=0,SF=0.00,LP=0,DVFS=0
01-18 09:34:27.000   493   866 I VrApi   : FPS=3/72,Prd=21ms,Tear=0,Early=1,Stale=71,Stale2/5/10/max=0/0/1/342,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,2361/545MHz,OC=3F,TA=0/3C/3C,SP=N/N/N,Mem=3196MHz,Free=2908MB,PLS=0,Temp=44.0C/0.0C,TW=0.89ms,App=2.14ms,GD=0.38ms,CPU&GPU=286951.19ms,LCnt=3(DR0,LM0),GPU%=0.10,CPU%=0.51(W0.63),DSF=1.04,CFL=11.36/16.09,ICFLp95=16.23,LD=0,SF=0.00,LP=0,DVFS=0
01-18 09:34:28.001   493   866 I VrApi   : FPS=3/72,Prd=21ms,Tear=0,Early=0,Stale=72,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,2361/545MHz,OC=3F,TA=0/3C/3C,SP=N/N/N,Mem=3196MHz,Free=2908MB,PLS=0,Temp=44.0C/0.0C,TW=0.89ms,App=14.18ms,GD=0.38ms,CPU&GPU=286951.19ms,LCnt=3(DR0,LM0),GPU%=0.10,CPU%=0.32(W0.64),DSF=1.04,CFL=10.88/15.44,ICFLp95=14.01,LD=0,SF=0.00,LP=0,DVFS=0
01-18 09:34:29.001   493   866 I VrApi   : FPS=3/72,Prd=21ms,Tear=0,Early=0,Stale=72,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,2361/545MHz,OC=3F,TA=0/3C/3C,SP=N/N/N,Mem=3196MHz,Free=2908MB,PLS=0,Temp=44.0C/0.0C,TW=0.89ms,App=14.18ms,GD=0.38ms,CPU&GPU=286951.19ms,LCnt=3(DR0,LM0),GPU%=0.10,CPU%=0.32(W0.64),DSF=1.04,CFL=10.88/15.44,ICFLp95=14.01,LD=0,SF=0.00,LP=0,DVFS=0
01-18 09:34:30.001   493   866 I VrApi   : FPS=3/72,Prd=21ms,Tear=0,Early=0,Stale=72,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,2361/545MHz,OC=3F,TA=0/3C/3C,SP=N/N/N,Mem=3196MHz,Free=2908MB,PLS=0,Temp=44.0C/0.0C,TW=0.89ms,App=14.18ms,GD=0.38ms,CPU&GPU=286951.19ms,LCnt=3(DR0,LM0),GPU%=0.10,CPU%=0.32(W0.64),DSF=1.04,CFL=10.88/15.44,ICFLp95=14.01,LD=0,SF=0.00,LP=0,DVFS=0
01-18 09:34:31.001   493   866 I VrApi   : FPS=2/72,Prd=12ms,Tear=0,Early=0,Stale=73,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,2361/545MHz,OC=3F,TA=0/3C/3C,SP=N/F/F,Mem=3196MHz,Free=2908MB,PLS=0,Temp=44.0C/0.0C,TW=0.89ms,App=69.66ms,GD=0.38ms,CPU&GPU=275015.69ms,LCnt=3(DR0,LM0),GPU%=0.11,CPU%=0.36(W0.60),DSF=1.04,CFL=10.73/14.81,ICFLp95=13.61,LD=0,SF=0.00,LP=0,DVFS=0
01-18 09:34:32.001   493   866 I VrApi   : FPS=2/72,Prd=12ms,Tear=0,Early=0,Stale=73,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,2361/545MHz,OC=3F,TA=0/3C/3C,SP=N/N/N,Mem=3196MHz,Free=2908MB,PLS=0,Temp=44.0C/0.0C,TW=0.89ms,App=69.66ms,GD=0.38ms,CPU&GPU=275015.69ms,LCnt=3(DR0,LM0),GPU%=0.11,CPU%=0.36(W0.60),DSF=1.04,CFL=10.73/14.81,ICFLp95=13.61,LD=0,SF=0.00,LP=0,DVFS=0
