--------- beginning of main
02-22 16:05:43.125 12862 12979 I VrApi   : FPS=43/72,Prd=0ms,Tear=0,Early=0,Stale=72,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=0,Fov=0,CPU4/GPU=5/5,1478/587MHz,OC=FF,TA=0/70/0,SP=N/F/N,Mem=2092MHz,Free=7755MB,PLS=0,Temp=25.7C/0.0C,TW=3.78ms,App=0.00ms,GD=0.94ms,CPU&GPU=22.82ms,LCnt=4(DR0,LM2),GPU%=0.50,CPU%=0.14(W0.22),DSF=1.00,CFL=18.64/21.32,ICFLp95=20.56,LD=1,SF=1.23,LP=0,DVFS=0
02-22 16:05:43.155 12862 12886 W VrApi   : Warning: app-submitted vsync 178067 for display time 2463.004s exceeds max future display vsync -- clamping to 178062
02-22 16:05:43.210 12862 12886 W VrApi   : Warning: app-submitted vsync 178071 for display time 2463.059s exceeds max future display vsync -- clamping to 178066
02-22 16:05:43.266 12862 12886 W VrApi   : Warning: app-submitted vsync 178075 for display time 2463.115s exceeds max future display vsync -- clamping to 178070
02-22 16:05:43.321 12862 12886 W VrApi   : Warning: app-submitted vsync 178079 for display time 2463.170s exceeds max future display vsync -- clamping to 178074
02-22 16:05:43.377 12862 12886 W VrApi   : Warning: app-submitted vsync 178083 for display time 2463.226s exceeds max future display vsync -- clamping to 178078
02-22 16:05:43.433 12862 12886 W VrApi   : Warning: app-submitted vsync 178087 for display time 2463.282s exceeds max future display vsync -- clamping to 178082
02-22 16:05:43.488 12862 12886 W VrApi   : Warning: app-submitted vsync 178091 for display time 2463.337s exceeds max future display vsync -- clamping to 178086
02-22 16:05:43.544 12862 12886 W VrApi   : Warning: app-submitted vsync 178095 for display time 2463.393s exceeds max future display vsync -- clamping to 178090
02-22 16:05:43.599 12862 12886 W VrApi   : Warning: app-submitted vsync 178099 for display time 2463.448s exceeds max future display vsync -- clamping to 178094
02-22 16:05:43.655 12862 12886 W VrApi   : Warning: app-submitted vsync 178103 for display time 2463.504s exceeds max future display vsync -- clamping to 178098
02-22 16:05:43.710 12862 12886 W VrApi   : Warning: app-submitted vsync 178107 for display time 2463.559s exceeds max future display vsync -- clamping to 178102
02-22 16:05:43.766 12862 12886 W VrApi   : Warning: app-submitted vsync 178111 for display time 2463.615s exceeds max future display vsync -- clamping to 178106
02-22 16:05:43.821 12862 12886 W VrApi   : Warning: app-submitted vsync 178115 for display time 2463.670s exceeds max future display vsync -- clamping to 178110
02-22 16:05:43.877 12862 12886 W VrApi   : Warning: app-submitted vsync 178119 for display time 2463.726s exceeds max future display vsync -- clamping to 178114
02-22 16:05:43.933 12862 12886 W VrApi   : Warning: app-submitted vsync 178123 for display time 2463.781s exceeds max future display vsync -- clamping to 178118
02-22 16:05:43.988 12862 12886 W VrApi   : Warning: app-submitted vsync 178127 for display time 2463.837s exceeds max future display vsync -- clamping to 178122
02-22 16:05:44.044 12862 12886 W VrApi   : Warning: app-submitted vsync 178131 for display time 2463.893s exceeds max future display vsync -- clamping to 178126
02-22 16:05:44.099 12862 12886 W VrApi   : Warning: app-submitted vsync 178135 for display time 2463.948s exceeds max future display vsync -- clamping to 178130
02-22 16:05:44.125 12862 12979 I VrApi   : FPS=54/72,Prd=0ms,Tear=0,Early=0,Stale=41,Stale2/5/10/max=0/0/1/113,VSnc=1,Lat=0,Fov=0,CPU4/GPU=5/5,1478/587MHz,OC=FF,TA=0/70/0,SP=N/F/N,Mem=2092MHz,Free=7755MB,PLS=0,Temp=25.7C/0.0C,TW=3.77ms,App=17.21ms,GD=0.83ms,CPU&GPU=18.38ms,LCnt=4(DR0,LM2),GPU%=0.44,CPU%=0.02(W0.05),DSF=1.00,CFL=18.56/21.40,ICFLp95=20.52,LD=1,SF=1.23,LP=0,DVFS=0
02-22 16:05:44.155 12862 12886 W VrApi   : Warning: app-submitted vsync 178139 for display time 2464.004s exceeds max future display vsync -- clamping to 178134
02-22 16:05:44.210 12862 12886 W VrApi   : Warning: app-submitted vsync 178143 for display time 2464.059s exceeds max future display vsync -- clamping to 178138
02-22 16:05:44.266 12862 12886 W VrApi   : Warning: app-submitted vsync 178147 for display time 2464.115s exceeds max future display vsync -- clamping to 178142
02-22 16:05:44.321 12862 12886 W VrApi   : Warning: app-submitted vsync 178151 for display time 2464.170s exceeds max future display vsync -- clamping to 178146
02-22 16:05:44.377 12862 12886 W VrApi   : Warning: app-submitted vsync 178155 for display time 2464.226s exceeds max future display vsync -- clamping to 178150
02-22 16:05:44.433 12862 12886 W VrApi   : Warning: app-submitted vsync 178159 for display time 2464.281s exceeds max future display vsync -- clamping to 178154
02-22 16:05:44.488 12862 12886 W VrApi   : Warning: app-submitted vsync 178163 for display time 2464.337s exceeds max future display vsync -- clamping to 178158
02-22 16:05:44.544 12862 12886 W VrApi   : Warning: app-submitted vsync 178167 for display time 2464.392s exceeds max future display vsync -- clamping to 178162
02-22 16:05:44.599 12862 12886 W VrApi   : Warning: app-submitted vsync 178171 for display time 2464.448s exceeds max future display vsync -- clamping to 178166
02-22 16:05:44.807 12862 12886 W VrApi   : Warning: app-submitted vsync 178188 for display time 2464.684s exceeds max future display vsync -- clamping to 178181
02-22 16:05:44.863 12862 12886 W VrApi   : Warning: app-submitted vsync 178190 for display time 2464.712s exceeds max future display vsync -- clamping to 178185
02-22 16:05:44.918 12862 12886 W VrApi   : Warning: app-submitted vsync 178194 for display time 2464.767s exceeds max future display vsync -- clamping to 178189
02-22 16:05:44.974 12862 12886 W VrApi   : Warning: app-submitted vsync 178198 for display time 2464.823s exceeds max future display vsync -- clamping to 178193
02-22 16:05:45.029 12862 12886 W VrApi   : Warning: app-submitted vsync 178202 for display time 2464.878s exceeds max future display vsync -- clamping to 178197
02-22 16:05:45.085 12862 12886 W VrApi   : Warning: app-submitted vsync 178206 for display time 2464.934s exceeds max future display vsync -- clamping to 178201
02-22 16:05:45.125 12862 12979 I VrApi   : FPS=19/72,Prd=0ms,Tear=0,Early=28,Stale=42,Stale2/5/10/max=14/0/0/3,VSnc=1,Lat=0,Fov=0,CPU4/GPU=5/5,1478/587MHz,OC=FF,TA=0/70/0,SP=N/F/N,Mem=1804MHz,Free=7755MB,PLS=0,Temp=25.7C/0.0C,TW=3.77ms,App=5.63ms,GD=1.11ms,CPU&GPU=30.57ms,LCnt=4(DR0,LM2),GPU%=0.45,CPU%=0.11(W0.18),DSF=1.00,CFL=18.49/21.34,ICFLp95=20.45,LD=1,SF=1.23,LP=0,DVFS=0
02-22 16:05:45.141 12862 12886 W VrApi   : Warning: app-submitted vsync 178210 for display time 2464.990s exceeds max future display vsync -- clamping to 178205
02-22 16:05:45.196 12862 12886 W VrApi   : Warning: app-submitted vsync 178214 for display time 2465.045s exceeds max future display vsync -- clamping to 178209
02-22 16:05:45.252 12862 12886 W VrApi   : Warning: app-submitted vsync 178218 for display time 2465.101s exceeds max future display vsync -- clamping to 178213
02-22 16:05:45.307 12862 12886 W VrApi   : Warning: app-submitted vsync 178222 for display time 2465.156s exceeds max future display vsync -- clamping to 178217
02-22 16:05:45.363 12862 12886 W VrApi   : Warning: app-submitted vsync 178226 for display time 2465.212s exceeds max future display vsync -- clamping to 178221
02-22 16:05:45.418 12862 12886 W VrApi   : Warning: app-submitted vsync 178230 for display time 2465.267s exceeds max future display vsync -- clamping to 178225
02-22 16:05:45.474 12862 12886 W VrApi   : Warning: app-submitted vsync 178234 for display time 2465.323s exceeds max future display vsync -- clamping to 178229
02-22 16:05:45.529 12862 12886 W VrApi   : Warning: app-submitted vsync 178238 for display time 2465.378s exceeds max future display vsync -- clamping to 178233
02-22 16:05:45.585 12862 12886 W VrApi   : Warning: app-submitted vsync 178242 for display time 2465.434s exceeds max future display vsync -- clamping to 178237
02-22 16:05:45.641 12862 12886 W VrApi   : Warning: app-submitted vsync 178246 for display time 2465.490s exceeds max future display vsync -- clamping to 178241
02-22 16:05:45.696 12862 12886 W VrApi   : Warning: app-submitted vsync 178250 for display time 2465.545s exceeds max future display vsync -- clamping to 178245
02-22 16:05:45.752 12862 12886 W VrApi   : Warning: app-submitted vsync 178254 for display time 2465.601s exceeds max future display vsync -- clamping to 178249
02-22 16:05:45.807 12862 12886 W VrApi   : Warning: app-submitted vsync 178258 for display time 2465.656s exceeds max future display vsync -- clamping to 178253
02-22 16:05:45.863 12862 12886 W VrApi   : Warning: app-submitted vsync 178262 for display time 2465.712s exceeds max future display vsync -- clamping to 178257
02-22 16:05:45.918 12862 12886 W VrApi   : Warning: app-submitted vsync 178266 for display time 2465.767s exceeds max future display vsync -- clamping to 178261
02-22 16:05:45.974 12862 12886 W VrApi   : Warning: app-submitted vsync 178270 for display time 2465.823s exceeds max future display vsync -- clamping to 178265
02-22 16:05:46.029 12862 12886 W VrApi   : Warning: app-submitted vsync 178274 for display time 2465.878s exceeds max future display vsync -- clamping to 178269
02-22 16:05:46.085 12862 12886 W VrApi   : Warning: app-submitted vsync 178278 for display time 2465.934s exceeds max future display vsync -- clamping to 178273
