02-22 15:56:29.893  5667  5667 I BatteryMgr:DataCollectionService: onStartCommand: begin
02-22 15:56:29.893  5667  5667 I BatteryMgr:DataCollectionService: onStartCommand: sampleRate => 1000
02-22 15:56:29.893  5667  5667 I BatteryMgr:DataCollectionService: onStartCommand: rawFields => Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
02-22 15:56:29.894  5667  5667 I BatteryMgr:DataCollectionService: onStartCommand: notification done
02-22 15:56:29.896  5667  5667 I BatteryMgr:DataCollectionService: started foreground
02-22 15:56:47.971  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613807971,-2481932,3781
02-22 15:56:48.163  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613808163,-2481932,3781
02-22 15:56:48.679  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613808678,-2481932,3781
02-22 15:56:48.974  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613808974,-2502928,3781
02-22 15:56:49.166  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613809166,-2502928,3781
02-22 15:56:49.681  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613809681,-2502928,3781
02-22 15:56:49.986  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613809986,-2556151,3781
02-22 15:56:50.172  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613810172,-2556151,3781
02-22 15:56:50.688  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613810688,-2556151,3781
02-22 15:56:50.988  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613810988,-2541990,3781
02-22 15:56:51.175  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613811175,-2541990,3781
02-22 15:56:51.691  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613811691,-2541990,3781
02-22 15:56:51.993  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613811993,-2543944,3781
02-22 15:56:52.181  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613812181,-2543944,3781
02-22 15:56:52.694  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613812694,-2543944,3781
02-22 15:56:52.997  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613812997,-2511717,3781
02-22 15:56:53.184  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613813184,-2511717,3781
02-22 15:56:53.697  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613813697,-2511717,3781
02-22 15:56:54.000  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613814000,-2541502,3781
02-22 15:56:54.195  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613814195,-2541502,3781
02-22 15:56:54.714  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613814714,-2541502,3781
02-22 15:56:55.003  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613815003,-2481444,3781
02-22 15:56:55.199  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613815199,-2481444,3781
02-22 15:56:55.721  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613815721,-2481444,3781
02-22 15:56:56.010  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613816010,-2463377,3781
02-22 15:56:56.207  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613816207,-2463377,3768
02-22 15:56:56.724  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613816724,-2463377,3768
02-22 15:56:57.013  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613817013,-2032713,3768
02-22 15:56:57.209  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613817209,-2032713,3768
02-22 15:56:57.729  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613817729,-2032713,3768
02-22 15:56:58.016  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613818016,-2475584,3768
02-22 15:56:58.215  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613818215,-2475584,3768
02-22 15:56:58.732  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613818732,-2475584,3768
02-22 15:56:59.024  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613819024,-2379393,3768
02-22 15:56:59.227  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613819227,-2379393,3768
02-22 15:56:59.735  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613819735,-2379393,3768
02-22 15:57:00.035  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613820035,-2395506,3768
02-22 15:57:00.230  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613820230,-2395506,3768
02-22 15:57:00.741  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613820741,-2395506,3768
02-22 15:57:01.039  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613821039,-2394530,3772
02-22 15:57:01.234  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708613821234,-2394530,3772
