01-19 19:51:42.283 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: begin
01-19 19:51:42.284 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: sampleRate => 1000
01-19 19:51:42.284 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: rawFields => Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
01-19 19:52:36.463 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690356463,-1187285,3818
01-19 19:52:37.466 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690357466,-1402256,3818
01-19 19:52:38.469 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690358469,-1086940,3818
01-19 19:52:39.471 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690359471,-1054713,3818
01-19 19:52:40.474 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690360474,-1139676,3818
01-19 19:52:41.477 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690361477,-1191679,3818
01-19 19:52:42.479 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690362479,-1104153,3818
01-19 19:52:43.481 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690363481,-960961,3818
01-19 19:52:44.485 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690364485,-1274811,3818
01-19 19:52:45.488 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690365488,-1241485,3818
01-19 19:52:46.490 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690366490,-1302644,3811
01-19 19:52:47.497 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690367497,-1110012,3811
01-19 19:52:48.500 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690368500,-1052516,3811
01-19 19:52:49.503 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690369503,-1043727,3811
01-19 19:52:50.505 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690370505,-1084011,3811
01-19 19:52:51.508 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690371508,-1279206,3811
01-19 19:52:52.511 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690372511,-1288728,3811
01-19 19:52:53.515 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690373515,-1140409,3811
01-19 19:52:54.517 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690374517,-1189848,3811
01-19 19:52:55.520 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690375520,-1018457,3811
01-19 19:52:56.523 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690376523,-1027247,3828
01-19 19:52:57.525 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690377525,-1296418,3828
01-19 19:52:58.529 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690378529,-1578408,3828
01-19 19:52:59.531 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690379531,-1545814,3828
01-19 19:53:00.534 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690380534,-1127591,3828
01-19 19:53:01.536 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690381536,-1105251,3828
01-19 19:53:02.539 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690382539,-940452,3828
01-19 19:53:03.541 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690383541,-1151395,3828
01-19 19:53:04.544 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690384544,-983300,3828
01-19 19:53:05.549 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690385549,-1060206,3828
01-19 19:53:06.552 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690386552,-1066432,3822
01-19 19:53:07.555 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690387555,-1108547,3822
01-19 19:53:08.557 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690388557,-1011865,3822
01-19 19:53:09.560 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690389560,-1233428,3822
01-19 19:53:10.562 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690390562,-1029078,3820
01-19 19:53:11.565 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690391565,-1105618,3820
01-19 19:53:12.568 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690392568,-1056910,3820
