02-22 16:18:19.965  5667  5667 I BatteryMgr:DataCollectionService: onStartCommand: begin
02-22 16:18:19.965  5667  5667 I BatteryMgr:DataCollectionService: onStartCommand: sampleRate => 1000
02-22 16:18:19.965  5667  5667 I BatteryMgr:DataCollectionService: onStartCommand: rawFields => Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
02-22 16:18:19.966  5667  5667 I BatteryMgr:DataCollectionService: onStartCommand: notification done
02-22 16:18:19.970  5667  5667 I BatteryMgr:DataCollectionService: started foreground
02-22 16:18:38.038  5667 12700 I BatteryMgr:DataCollectionService: stats => 1708615118038,-2614744,3662
02-22 16:18:38.550  5667 12700 I BatteryMgr:DataCollectionService: stats => 1708615118550,-2528319,3662
02-22 16:18:38.565  5667 12700 I BatteryMgr:DataCollectionService: stats => 1708615118565,-2528319,3662
02-22 16:18:39.041  5667 12700 I BatteryMgr:DataCollectionService: stats => 1708615119041,-2528319,3662
02-22 16:18:39.555  5667 12700 I BatteryMgr:DataCollectionService: stats => 1708615119555,-2570311,3662
02-22 16:18:39.569  5667 12700 I BatteryMgr:DataCollectionService: stats => 1708615119569,-2570311,3662
02-22 16:18:40.043  5667 12700 I BatteryMgr:DataCollectionService: stats => 1708615120043,-2570311,3662
02-22 16:18:40.565  5667 12700 I BatteryMgr:DataCollectionService: stats => 1708615120565,-2627440,3662
02-22 16:18:40.574  5667 12700 I BatteryMgr:DataCollectionService: stats => 1708615120574,-2627440,3662
02-22 16:18:41.049  5667 12700 I BatteryMgr:DataCollectionService: stats => 1708615121049,-2627440,3662
02-22 16:18:41.570  5667 12700 I BatteryMgr:DataCollectionService: stats => 1708615121570,-2568358,3662
02-22 16:18:41.579  5667 12700 I BatteryMgr:DataCollectionService: stats => 1708615121579,-2568358,3662
02-22 16:18:42.054  5667 12700 I BatteryMgr:DataCollectionService: stats => 1708615122054,-2533201,3662
02-22 16:18:42.584  5667 12700 I BatteryMgr:DataCollectionService: stats => 1708615122584,-2533201,3662
02-22 16:18:42.585  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615122585,-2533201,3662
02-22 16:18:43.056  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615123056,-2600584,3662
02-22 16:18:43.586  5667 12700 I BatteryMgr:DataCollectionService: stats => 1708615123586,-2600584,3662
02-22 16:18:43.586  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615123586,-2600584,3662
02-22 16:18:44.060  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615124060,-2589842,3662
02-22 16:18:44.589  5667 12700 I BatteryMgr:DataCollectionService: stats => 1708615124589,-2589842,3662
02-22 16:18:44.589  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615124589,-2589842,3662
02-22 16:18:45.063  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615125063,-2568358,3662
02-22 16:18:45.599  5667 12699 I BatteryMgr:DataCollectionService: stats => 1708615125599,-2568358,3662
