timestamp,id,uuid,load,memoryUtil,memoryTotal,memoryFree,driver,name,serial,display_mode,display_active
1709135656.804073,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.18,0.40966796875,10240.0,6045.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709135657.809765,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.17,0.57060546875,10240.0,4397.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709135658.807319,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.11,0.51572265625,10240.0,4959.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709135659.806055,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.11,0.51572265625,10240.0,4959.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709135660.805108,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.12,0.51572265625,10240.0,4959.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709135661.80116,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.12,0.40322265625,10240.0,6111.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709135662.802033,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.21,0.53623046875,10240.0,4749.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709135663.797981,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.15,0.46806640625,10240.0,5447.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709135664.810951,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.15,0.46806640625,10240.0,5447.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709135665.797606,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.13,0.4642578125,10240.0,5486.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709135666.797372,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.14,0.4642578125,10240.0,5486.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709135667.80854,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.13,0.4642578125,10240.0,5486.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709135668.804907,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.16,0.46796875,10240.0,5448.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709135669.800827,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.1,0.4603515625,10240.0,5526.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709135670.803234,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.15,0.46904296875,10240.0,5437.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709135671.800116,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.16,0.46904296875,10240.0,5437.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709135672.797889,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.15,0.46904296875,10240.0,5437.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709135673.810284,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.14,0.46533203125,10240.0,5475.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709135674.807751,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.15,0.46904296875,10240.0,5437.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709135675.804125,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.14,0.46533203125,10240.0,5475.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709135676.80317,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.13,0.46533203125,10240.0,5475.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709135677.800807,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.15,0.46904296875,10240.0,5437.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709135678.799068,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.14,0.46533203125,10240.0,5475.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709135679.81161,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.16,0.46904296875,10240.0,5437.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
